,Data Type,Data Count,Null Count,Null Percentage (%),NaN Count,NaN Percentage (%),Unique Values
Table,object,15,0,0.0,0,0.0,4
Field,object,15,0,0.0,0,0.0,12
Description,object,15,0,0.0,0,0.0,15
